@relation audio_features

@attribute amplitude numeric
@attribute rms numeric
@attribute zero_crossing_rate numeric
@attribute spectral_centroid numeric
@attribute spectral_bandwidth numeric
@attribute spectral_rolloff numeric
@attribute label {speech, music}

@data
65535.0,46170.612426872285,59,11488.072146423267,9344.221323501712,23605.0,music
65535.0,45778.06016719896,25,12761.308099949552,9462.189577464604,25462.0,music
65535.0,45429.359096864966,19,10232.410143812225,9530.804864243082,22735.0,music
65535.0,46793.66388319577,101,11464.932591109513,9636.519214726763,24574.0,speech
65535.0,44242.05314791104,15,10805.520228173624,9370.408786651848,22904.0,speech
65535.0,46178.39343572567,144,11364.924806512341,9334.102841772803,23438.0,speech
65535.0,45634.402861612056,24,11383.879255347518,9399.692850460495,23564.0,music
65535.0,45906.038619115316,15,10840.311421367616,8932.023339296426,22368.0,music
65535.0,46234.8267415183,19,10219.21354740204,9481.917660037987,22626.0,music
65535.0,44832.06073430215,20,10449.883248329768,9009.492982932501,22301.0,speech
65535.0,45868.48071950916,187,10973.525436048998,9486.784991760029,23378.0,speech
65535.0,42695.03423166794,6,12623.353949071601,9450.517389165534,24869.0,speech
65535.0,44303.04478803859,5,12305.725405322235,9150.899853258621,24068.0,music
65535.0,43633.391226722975,9,12708.59988070423,9525.848432704122,24808.0,speech
65535.0,40774.951044804686,45,11036.80070962088,9534.353193708492,23534.0,speech
65535.0,46605.8899152568,11,9859.561980471155,9149.320334136923,21586.0,speech
65535.0,41140.14268179636,43,12066.511478393524,9746.025518541759,24902.0,speech
65535.0,39922.86813576822,27,10729.514274229567,9205.920909637514,22441.0,speech
65535.0,46213.23091511825,13,11064.300469996204,9649.222835937118,23703.0,music
65535.0,46205.34835447725,146,10741.742349552715,9224.66093990807,22959.0,speech
65535.0,43281.918712898405,7,9631.541958771722,9440.881685037193,22231.0,music
65535.0,46263.69406822686,90,9476.273182949772,8622.5463070451,20277.0,speech
65535.0,44571.143184499146,73,13384.69749836556,9900.432439666385,26002.0,music
65535.0,45110.09887319804,17,11204.338247634922,9694.244426744168,23972.0,music
65535.0,46543.15961784489,50,11408.5534991287,9217.831342280673,23264.0,speech
65535.0,44869.78108239703,39,11556.132309259678,9084.491775057491,22762.0,music
